,Region,GDP_2011,GDP_2015,GDP_2019
1,    United States,13108674,18047289,21729124
2,New England,717865,962825,1151182
3,  Connecticut,201386,260643,288985
4,  Maine,44821,57621,68441
5,  Massachusetts,348577,481630,604208
6,  New Hampshire,56572,74121,89836
7,  Rhode Island,43663,57821,64441
8,  Vermont,22968,30988,35271
9,Mideast,2356915,3300841,3887642
10,  Delaware,57293,68576,76410
11,  District of Columbia,91643,124216,148231
12,  Maryland,264373,368401,434312
13,  New Jersey,426765,577301,652412
14,  New York,1016350,1466458,1751674
15,  Pennsylvania,500443,695889,824603
16,Great Lakes,1801307,2527342,2897900
17,  Illinois,582094,784413,908913
18,  Indiana,240933,341201,381733
19,  Michigan,337427,474698,548567
20,  Ohio,418881,616406,706764
21,  Wisconsin,221741,310624,351922
22,Plains,851602,1172582,1336153
23,  Iowa,128597,174803,197172
24,  Kansas,113367,147832,175703
25,  Minnesota,244912,336207,385907
26,  Missouri,216099,297263,336816
27,  Nebraska,79889,114937,129098
28,  North Dakota,34262,53908,57400
29,  South Dakota,34443,47631,54057
30,Southeast,2893829,3880621,4583466
31,  Alabama,150330,206341,234054
32,  Arkansas,91496,124792,135225
33,  Florida,661091,902201,1111378
34,  Georgia,365809,505199,625329
35,  Kentucky,141266,197626,217564
36,  Louisiana,205877,242211,267051
37,  Mississippi,84272,108433,120429
38,  North Carolina,385092,508241,596383
39,  South Carolina,143278,202276,249958
40,  Tennessee,233997,320792,385741
41,  Virginia,375747,488996,561846
42,  West Virginia,55765,73512,78507
43,Southwest,1581677,2143495,2603231
44,  Arizona,227098,294170,372522
45,  New Mexico,70497,91851,105263
46,  Oklahoma,134146,176833,207381
47,  Texas,1149908,1580641,1918065
48,Rocky Mountain,457915,617657,763387
49,  Colorado,234308,318097,396367
50,  Idaho,51463,66081,82265
51,  Montana,31983,46108,52948
52,  Utah,108329,149643,192013
53,  Wyoming,31542,37727,39794
54,Far West,2446554,3441926,4383859
55,  Alaska,44702,51560,55759
56,  California,1735360,2496710,3183251
57,  Hawaii,57977,80761,98536
58,  Nevada,112503,143609,180406
59,  Oregon,186228,218711,255418
60,  Washington,310906,450575,610488
61,,,,122305
62,,,,
63,,,,
