,year,state,demVotes,gopVotes,otherVotes,totalVotes
1,2012,AK,122640,164676,13179,300495
2,2016,AK,116454,163387,38767,318608
3,2020,AK,153778,189951,15801,359530
4,2012,AL,795696,1255925,22717,2074338
5,2016,AL,729547,1318255,75570,2123372
6,2020,AL,849648,1441168,32488,2323304
7,2012,AR,394409,647744,27315,1069468
8,2016,AR,380494,684872,65269,1130635
9,2020,AR,423932,760647,34490,1219069
10,2012,AZ,1025232,1233654,40368,2299254
11,2016,AZ,1161209,1252401,159555,2573165
12,2020,AZ,1672143,1661686,53497,3387326
13,2012,CA,7854285,4839958,344304,13038547
14,2016,CA,8753788,4483810,943997,14181595
15,2020,CA,11109764,6005961,380181,17495906
16,2012,CO,1323101,1185243,61172,2569516
17,2016,CO,1338870,1202484,238866,2780220
18,2020,CO,1804352,1364607,87994,3256953
19,2012,CT,905083,634892,18229,1558204
20,2016,CT,897572,673215,74133,1644920
21,2020,CT,1080680,715291,28353,1824324
22,2012,DC,267070,21381,5313,293764
23,2016,DC,282830,12723,17022,312575
24,2020,DC,317323,18586,8447,344356
25,2012,DE,242584,165484,5822,413890
26,2016,DE,235603,185127,20860,441590
27,2020,DE,296268,200603,7139,504010
28,2012,FL,4237756,4163447,72976,8474179
29,2016,FL,4504975,4617886,297178,9420039
30,2020,FL,5297045,5668731,101680,11067456
31,2012,GA,1773827,2078688,45324,3897839
32,2016,GA,1877963,2089104,147665,4114732
33,2020,GA,2473707,2461779,62238,4997724
34,2012,HI,306658,121015,9486,437159
35,2016,HI,266891,128847,41926,437664
36,2020,HI,366130,196864,11475,574469
37,2012,IA,822544,730617,29019,1582180
38,2016,IA,653669,800983,110928,1565580
39,2020,IA,759061,897672,34138,1690871
40,2012,ID,212787,420911,18576,652274
41,2016,ID,189765,409055,91435,690255
42,2020,ID,287021,554118,26966,868105
43,2012,IL,3019512,2135216,87286,5242014
44,2016,IL,3090729,2146015,299680,5536424
45,2020,IL,3471680,2446733,120059,6038472
46,2012,IN,1152887,1420543,51104,2624534
47,2016,IN,1033126,1557286,144546,2734958
48,2020,IN,1242495,1729852,60851,3033198
49,2012,KS,440726,692634,26611,1159971
50,2016,KS,427005,671018,86379,1184402
51,2020,KS,570323,771406,33575,1375304
52,2012,KY,679370,1087190,30652,1797212
53,2016,KY,628854,1202971,92324,1924149
54,2020,KY,772474,1326646,37648,2136768
55,2012,LA,809141,1152262,32662,1994065
56,2016,LA,780154,1178638,70240,2029032
57,2020,LA,856034,1255776,36252,2148062
58,2012,MA,1921290,1188314,74592,3184196
59,2016,MA,1995196,1090893,292732,3378821
60,2020,MA,2382202,1167202,81998,3631402
61,2012,MD,1677844,971869,57614,2707327
62,2016,MD,1678006,943428,160012,2781446
63,2020,MD,1985023,976414,57627,3019064
64,2012,ME,401306,292276,31176,724758
65,2016,ME,357735,335593,78564,771892
66,2020,ME,435072,360737,24696,820505
67,2012,MI,2564569,2115256,51136,4730961
68,2016,MI,2268839,2279543,250902,4799284
69,2020,MI,2804040,2649852,85410,5539302
70,2012,MN,1546167,1320225,70169,2936561
71,2016,MN,1367705,1322949,254128,2944782
72,2020,MN,1717077,1484065,76029,3277171
73,2012,MO,1223796,1482440,51087,2757323
74,2016,MO,1071068,1594511,143026,2808605
75,2020,MO,1253561,1717912,58113,3029586
76,2012,MS,562949,710746,11889,1285584
77,2016,MS,485131,700714,23512,1209357
78,2020,MS,539398,756764,19016,1315178
79,2012,MT,201839,267928,14281,484048
80,2016,MT,177709,279240,37577,494526
81,2020,MT,244786,343602,17362,605750
82,2012,NC,2178391,2270395,56586,4505372
83,2016,NC,2189316,2362631,189617,4741564
84,2020,NC,2684292,2758773,81736,5524801
85,2012,ND,124966,188320,9646,322932
86,2016,ND,93758,216794,33808,344360
87,2020,ND,114902,235595,11322,361819
88,2012,NE,302081,475064,17234,794379
89,2016,NE,284494,495961,63772,844227
90,2020,NE,374583,556846,20842,952271
91,2012,NH,369561,329918,11493,710972
92,2016,NH,348526,345790,49980,744296
93,2020,NH,424921,365654,13855,804430
94,2012,NJ,2122786,1478088,37625,3638499
95,2016,NJ,2148278,1601933,123835,3874046
96,2020,NJ,2608271,1883140,72617,4564028
97,2012,NM,415335,335788,32635,783758
98,2016,NM,385234,319667,93418,798319
99,2020,NM,501614,401894,20457,923965
100,2012,NV,531373,463567,19978,1014918
101,2016,NV,539260,512058,74067,1125385
102,2020,NV,703486,669890,32000,1405376
103,2012,NY,4471871,2485432,159481,7116784
104,2016,NY,4556124,2819534,426426,7802084
105,2020,NY,5244006,3250230,121969,8616205
106,2012,OH,2827621,2661407,91794,5580822
107,2016,OH,2394164,2841005,261318,5496487
108,2020,OH,2679165,3154834,88203,5922202
109,2012,OK,443547,891325,0,1334872
110,2016,OK,420375,949136,83481,1452992
111,2020,OK,503890,1020280,36529,1560699
112,2012,OR,970488,754175,64607,1789270
113,2016,OR,1002106,782403,216827,2001336
114,2020,OR,1340383,958448,75490,2374321
115,2012,PA,2990274,2680434,71332,5742040
116,2016,PA,2926441,2970733,218228,6115402
117,2020,PA,3460574,3378700,87092,6926366
118,2012,RI,279677,157204,9168,446049
119,2016,RI,252525,180543,31076,464144
120,2020,RI,307486,199922,10349,517757
121,2012,SC,865941,1071645,26532,1964118
122,2016,SC,855373,1155389,92265,2103027
123,2020,SC,1091541,1385103,36685,2513329
124,2012,SD,145039,210610,8166,363815
125,2016,SD,117458,227721,24914,370093
126,2020,SD,150471,261043,11095,422609
127,2012,TN,960709,1462330,35538,2458577
128,2016,TN,870695,1522925,114407,2508027
129,2020,TN,1143711,1852475,57665,3053851
130,2012,TX,3308124,4569843,115884,7993851
131,2016,TX,3877868,4685047,406311,8969226
132,2020,TX,5259126,5890347,168438,11317911
133,2012,UT,251813,740600,25027,1017440
134,2016,UT,310674,515211,305432,1131317
135,2020,UT,560282,865140,62867,1488289
136,2012,VA,1971820,1822522,60147,3854489
137,2016,VA,1981473,1769443,231836,3982752
138,2020,VA,2413568,1962430,84526,4460524
139,2012,VT,199239,92698,7353,299290
140,2016,VT,178573,95369,46525,320467
141,2020,VT,242820,112704,11904,367428
142,2012,WA,1755396,1290670,79450,3125516
143,2016,WA,1742718,1221747,352554,3317019
144,2020,WA,2369612,1584651,106282,4060545
145,2012,WI,1620985,1410966,39483,3071434
146,2016,WI,1382536,1405284,188330,2976150
147,2020,WI,1630866,1610184,56991,3298041
148,2012,WV,238269,417655,14514,670438
149,2016,WV,188794,489371,34886,713051
150,2020,WV,235984,545382,13286,794652
151,2012,WY,69286,170962,10453,250701
152,2016,WY,55973,174419,28396,258788
153,2020,WY,73491,193559,9715,276765
